time,center_bubbles_px,nivel_x,nivel_y,nivel_t,temperature,watch_indicator
05:08.4,None,NaN,NaN,NaN,24.4375,None
05:09.2,None,NaN,NaN,NaN,24.4375,None
05:09.9,None,NaN,NaN,NaN,24.4375,None
05:10.6,None,NaN,NaN,NaN,24.4375,None
05:11.4,None,NaN,NaN,NaN,24.4375,None
05:12.1,None,NaN,NaN,NaN,24.4375,None
05:12.8,None,NaN,NaN,NaN,24.4375,None
05:13.5,None,NaN,NaN,NaN,24.4375,None
05:14.2,None,NaN,NaN,NaN,24.4375,None
05:14.9,None,NaN,NaN,NaN,24.4375,None
05:15.7,None,NaN,NaN,NaN,24.4375,None
05:16.4,None,NaN,NaN,NaN,24.4375,None
05:17.1,None,NaN,NaN,NaN,24.5,None
05:17.8,None,NaN,NaN,NaN,24.4375,None
05:18.5,None,NaN,NaN,NaN,24.4375,None
05:19.3,None,NaN,NaN,NaN,24.4375,None
05:20.0,None,NaN,NaN,NaN,24.4375,None
05:20.7,None,NaN,NaN,NaN,24.4375,None
05:21.4,None,NaN,NaN,NaN,24.4375,None
05:22.1,None,NaN,NaN,NaN,24.4375,None
05:22.9,None,NaN,NaN,NaN,24.5,None
05:23.6,None,NaN,NaN,NaN,24.5,None
05:24.3,None,NaN,NaN,NaN,24.4375,None
05:25.0,None,NaN,NaN,NaN,24.5,None
05:25.7,None,NaN,NaN,NaN,24.4375,None
05:26.4,None,NaN,NaN,NaN,24.4375,None
05:27.2,None,NaN,NaN,NaN,24.4375,None
05:27.9,None,NaN,NaN,NaN,24.5,None
05:28.6,None,NaN,NaN,NaN,24.5,None
05:29.3,None,NaN,NaN,NaN,24.4375,None
05:30.1,None,NaN,NaN,NaN,24.4375,None
05:30.8,None,NaN,NaN,NaN,24.5,None
05:31.5,None,NaN,NaN,NaN,24.4375,None
05:32.2,None,NaN,NaN,NaN,24.5,None
05:32.9,None,NaN,NaN,NaN,24.5,None
05:33.6,None,NaN,NaN,NaN,24.5,None
05:34.3,None,NaN,NaN,NaN,24.5,None
05:35.1,None,NaN,NaN,NaN,24.5,None
05:35.8,None,NaN,NaN,NaN,24.5,None
05:36.5,None,NaN,NaN,NaN,24.5,None
05:37.2,None,NaN,NaN,NaN,24.4375,None
05:37.9,None,NaN,NaN,NaN,24.5,None
05:38.6,None,NaN,NaN,NaN,24.5,None
05:39.4,None,NaN,NaN,NaN,24.5,None
05:40.1,None,NaN,NaN,NaN,24.5,None
05:40.8,None,NaN,NaN,NaN,24.5,None
05:41.5,None,NaN,NaN,NaN,24.5,None
05:42.3,None,NaN,NaN,NaN,24.4375,None
05:43.0,None,NaN,NaN,NaN,24.4375,None
05:43.7,None,NaN,NaN,NaN,24.5,None
05:44.4,None,NaN,NaN,NaN,24.5,None
05:45.2,None,NaN,NaN,NaN,24.5,None
05:45.9,None,NaN,NaN,NaN,24.5,None
05:46.6,None,NaN,NaN,NaN,24.5,None
05:47.3,None,NaN,NaN,NaN,24.5,None
05:48.0,None,NaN,NaN,NaN,24.5,None
05:48.7,None,NaN,NaN,NaN,24.4375,None
05:49.5,None,NaN,NaN,NaN,24.5,None
05:50.2,None,NaN,NaN,NaN,24.5,None
05:50.9,None,NaN,NaN,NaN,24.5,None
05:51.6,None,NaN,NaN,NaN,24.5,None
05:52.4,None,NaN,NaN,NaN,24.5,None
05:53.1,None,NaN,NaN,NaN,24.5,None
05:53.8,None,NaN,NaN,NaN,24.5,None
05:54.5,None,NaN,NaN,NaN,24.5,None
05:55.2,None,NaN,NaN,NaN,24.4375,None
05:55.9,None,NaN,NaN,NaN,24.5,None
05:56.7,None,NaN,NaN,NaN,24.5,None
05:57.4,None,NaN,NaN,NaN,24.5,None
05:58.1,None,NaN,NaN,NaN,24.5,None
05:58.8,None,NaN,NaN,NaN,24.5,None
05:59.5,None,NaN,NaN,NaN,24.5,None
06:00.3,None,NaN,NaN,NaN,24.5,None
06:01.0,None,NaN,NaN,NaN,24.5,None
06:01.7,None,NaN,NaN,NaN,24.5,None
06:02.4,None,NaN,NaN,NaN,24.5,None
06:03.1,None,NaN,NaN,NaN,24.5,None
06:03.9,None,NaN,NaN,NaN,24.5,None
06:04.6,None,NaN,NaN,NaN,24.5625,None
06:05.3,None,NaN,NaN,NaN,24.5,None
06:06.0,None,NaN,NaN,NaN,24.5,None
06:06.7,None,NaN,NaN,NaN,24.5625,None
06:07.4,None,NaN,NaN,NaN,24.5,None
06:08.1,None,NaN,NaN,NaN,24.5,None
06:08.9,None,NaN,NaN,NaN,24.5,None
06:09.6,None,NaN,NaN,NaN,24.5625,None
06:10.3,None,NaN,NaN,NaN,24.5625,None
06:11.0,None,NaN,NaN,NaN,24.5,None
06:11.7,None,NaN,NaN,NaN,24.5,None
06:12.5,None,NaN,NaN,NaN,24.5625,None
06:13.2,None,NaN,NaN,NaN,24.5,None
06:13.9,None,NaN,NaN,NaN,24.5,None
06:14.6,None,NaN,NaN,NaN,24.5,None
06:15.4,None,NaN,NaN,NaN,24.5625,None
06:16.1,None,NaN,NaN,NaN,24.5625,None
06:16.8,None,NaN,NaN,NaN,24.5625,None
06:17.5,None,NaN,NaN,NaN,24.5625,None
06:18.3,None,NaN,NaN,NaN,24.5,None
06:19.0,None,NaN,NaN,NaN,24.5,None
06:19.7,None,NaN,NaN,NaN,24.5,None
06:20.4,None,NaN,NaN,NaN,24.5,None
06:21.2,None,NaN,NaN,NaN,24.5,None
06:21.9,None,NaN,NaN,NaN,24.5,None
06:22.6,None,NaN,NaN,NaN,24.5625,None
06:23.4,None,NaN,NaN,NaN,24.5,None
06:24.1,None,NaN,NaN,NaN,24.5625,None
06:24.8,None,NaN,NaN,NaN,24.5625,None
06:25.5,None,NaN,NaN,NaN,24.5625,None
06:26.2,None,NaN,NaN,NaN,24.5625,None
06:27.0,None,NaN,NaN,NaN,24.5625,None
06:27.7,None,NaN,NaN,NaN,24.5625,None
06:28.4,None,NaN,NaN,NaN,24.5625,None
06:29.1,None,NaN,NaN,NaN,24.5625,None
06:29.9,None,NaN,NaN,NaN,24.5625,None
06:30.6,None,NaN,NaN,NaN,24.5625,None
06:31.3,None,NaN,NaN,NaN,24.5,None
06:32.0,None,NaN,NaN,NaN,24.5625,None
06:32.7,None,NaN,NaN,NaN,24.5625,None
06:33.5,None,NaN,NaN,NaN,24.5625,None
06:34.2,None,NaN,NaN,NaN,24.5625,None
06:34.9,None,NaN,NaN,NaN,24.5625,None
06:35.6,None,NaN,NaN,NaN,24.625,None
06:36.4,None,NaN,NaN,NaN,24.5625,None
06:37.1,None,NaN,NaN,NaN,24.5625,None
06:37.8,None,NaN,NaN,NaN,24.5625,None
06:38.5,None,NaN,NaN,NaN,24.5625,None
06:39.3,None,NaN,NaN,NaN,24.5625,None
06:40.0,None,NaN,NaN,NaN,24.5625,None
06:40.7,None,NaN,NaN,NaN,24.5,None
06:41.5,None,NaN,NaN,NaN,24.5625,None
06:42.2,None,NaN,NaN,NaN,24.625,None
06:42.9,None,NaN,NaN,NaN,24.5625,None
06:43.6,None,NaN,NaN,NaN,24.5625,None
06:44.4,None,NaN,NaN,NaN,24.625,None
06:45.1,None,NaN,NaN,NaN,24.5625,None
06:45.8,None,NaN,NaN,NaN,24.5625,None
06:46.5,None,NaN,NaN,NaN,24.625,None
06:47.3,None,NaN,NaN,NaN,24.5625,None
06:48.0,None,NaN,NaN,NaN,24.5625,None
06:48.7,None,NaN,NaN,NaN,24.5625,None
06:49.4,None,NaN,NaN,NaN,24.5625,None
06:50.2,None,NaN,NaN,NaN,24.5625,None
06:50.9,None,NaN,NaN,NaN,24.625,None
06:51.6,None,NaN,NaN,NaN,24.5625,None
06:52.4,None,NaN,NaN,NaN,24.5625,None
06:53.1,None,NaN,NaN,NaN,24.625,None
06:53.8,None,NaN,NaN,NaN,24.5625,None
06:54.5,None,NaN,NaN,NaN,24.625,None
06:55.2,None,NaN,NaN,NaN,24.5625,None
06:56.0,None,NaN,NaN,NaN,24.5625,None
06:56.7,None,NaN,NaN,NaN,24.625,None
06:57.4,None,NaN,NaN,NaN,24.5625,None
06:58.1,None,NaN,NaN,NaN,24.5625,None
06:58.9,None,NaN,NaN,NaN,24.625,None
06:59.6,None,NaN,NaN,NaN,24.625,None
07:00.3,None,NaN,NaN,NaN,24.5625,None
07:01.1,None,NaN,NaN,NaN,24.5625,None
07:01.8,None,NaN,NaN,NaN,24.5625,None
07:02.5,None,NaN,NaN,NaN,24.625,None
07:03.3,None,NaN,NaN,NaN,24.5625,None
07:04.0,None,NaN,NaN,NaN,24.625,None
07:04.7,None,NaN,NaN,NaN,24.625,None
07:05.4,332.5,NaN,NaN,NaN,24.625,None
07:06.2,348.5,NaN,NaN,NaN,24.625,None
07:06.9,348,NaN,NaN,NaN,24.6875,None
07:07.6,348.5,NaN,NaN,NaN,24.625,None
07:08.3,348.5,NaN,NaN,NaN,24.625,None
07:09.0,347,NaN,NaN,NaN,24.625,None
07:09.8,346.5,NaN,NaN,NaN,24.625,None
07:10.5,340,NaN,NaN,NaN,24.625,None
07:11.2,352,NaN,NaN,NaN,24.625,None
07:12.0,352,NaN,NaN,NaN,24.6875,None
07:12.7,362.5,NaN,NaN,NaN,24.6875,None
07:13.4,370.5,NaN,NaN,NaN,24.625,None
07:14.1,363,NaN,NaN,NaN,24.625,None
07:14.9,None,NaN,NaN,NaN,24.625,None
07:15.6,None,NaN,NaN,NaN,24.625,None
07:16.3,None,NaN,NaN,NaN,24.625,None
07:17.0,None,NaN,NaN,NaN,24.625,None
07:17.8,None,NaN,NaN,NaN,24.625,None
07:18.5,None,NaN,NaN,NaN,24.625,None
