time,center_bubbles_px,nivel_x,nivel_y,nivel_t,temperature,watch_indicator
15:57.7,361.5,NaN,NaN,NaN,24.625,None
15:58.6,361.5,NaN,NaN,NaN,24.6875,None
15:59.6,362,NaN,NaN,NaN,24.6875,None
16:00.6,489,NaN,NaN,NaN,24.6875,None
16:01.7,477.5,NaN,NaN,NaN,24.6875,None
16:02.6,400,NaN,NaN,NaN,24.6875,None
16:03.6,None,NaN,NaN,NaN,24.6875,None
16:04.6,None,NaN,NaN,NaN,24.6875,None
16:05.6,None,NaN,NaN,NaN,24.6875,None
16:06.6,381,NaN,NaN,NaN,24.6875,None
16:07.6,351,NaN,NaN,NaN,24.6875,None
16:08.6,358,NaN,NaN,NaN,24.625,None
16:09.6,326.5,NaN,NaN,NaN,24.6875,None
16:10.7,328,NaN,NaN,NaN,24.6875,None
16:11.6,326.5,NaN,NaN,NaN,24.6875,None
16:12.6,359.5,NaN,NaN,NaN,24.6875,None
16:13.6,358,NaN,NaN,NaN,24.625,None
16:14.6,326.5,NaN,NaN,NaN,24.6875,None
16:15.6,328,NaN,NaN,NaN,24.6875,None
16:16.6,328,NaN,NaN,NaN,24.6875,None
16:17.6,358,NaN,NaN,NaN,24.6875,None
16:18.6,356.5,NaN,NaN,NaN,24.6875,None
16:19.6,352,NaN,NaN,NaN,24.6875,None
16:20.6,350,NaN,NaN,NaN,24.6875,None
16:21.6,350.5,NaN,NaN,NaN,24.6875,None
16:22.6,350,NaN,NaN,NaN,24.75,None
16:23.7,350.5,NaN,NaN,NaN,24.6875,None
16:24.6,350.5,NaN,NaN,NaN,24.75,None
16:25.6,352,NaN,NaN,NaN,24.6875,None
16:26.6,350,NaN,NaN,NaN,24.6875,None
16:27.7,348,NaN,NaN,NaN,24.6875,None
16:28.6,948,NaN,NaN,NaN,24.6875,None
16:29.6,389.5,NaN,NaN,NaN,24.6875,None
16:30.6,386.5,NaN,NaN,NaN,24.6875,None
16:31.6,361.5,NaN,NaN,NaN,24.6875,None
16:32.6,384,NaN,NaN,NaN,24.6875,None
16:33.6,361.5,NaN,NaN,NaN,24.75,None
16:34.6,362,NaN,NaN,NaN,24.6875,None
16:35.6,361.5,NaN,NaN,NaN,24.75,None
16:36.6,361.5,NaN,NaN,NaN,24.6875,None
16:37.6,362,NaN,NaN,NaN,24.75,None
16:38.6,361.5,NaN,NaN,NaN,24.75,None
16:39.7,361.5,NaN,NaN,NaN,24.75,None
16:40.7,362,NaN,NaN,NaN,24.75,None
16:41.6,362,NaN,NaN,NaN,24.75,None
16:42.6,339.5,NaN,NaN,NaN,24.75,None
16:43.6,388,NaN,NaN,NaN,24.75,None
16:44.7,341.5,NaN,NaN,NaN,24.75,None
16:45.6,342.5,NaN,NaN,NaN,24.75,None
16:46.6,341.5,NaN,NaN,NaN,24.75,None
16:47.6,389.5,NaN,NaN,NaN,24.75,None
16:48.6,342.5,NaN,NaN,NaN,24.75,None
16:49.6,388,NaN,NaN,NaN,24.75,None
16:50.6,478,NaN,NaN,NaN,24.75,None
16:51.6,489.5,NaN,NaN,NaN,24.8125,None
16:52.6,477,NaN,NaN,NaN,24.6875,None
16:53.7,361.5,NaN,NaN,NaN,24.6875,None
16:54.6,362,NaN,NaN,NaN,24.75,None
16:55.6,477.5,NaN,NaN,NaN,24.8125,None
16:56.6,361,NaN,NaN,NaN,24.8125,None
16:57.7,478,NaN,NaN,NaN,24.75,None
16:58.6,361,NaN,NaN,NaN,24.75,None
16:59.6,362,NaN,NaN,NaN,24.75,None
17:00.6,372,NaN,NaN,NaN,24.75,None
17:01.6,369,NaN,NaN,NaN,24.75,None
17:02.6,368,NaN,NaN,NaN,24.75,None
17:03.6,369.5,NaN,NaN,NaN,24.8125,None
17:04.6,371,NaN,NaN,NaN,24.8125,None
17:05.7,385.5,NaN,NaN,NaN,24.8125,None
17:06.6,380,NaN,NaN,NaN,24.8125,None
17:07.6,398,NaN,NaN,NaN,24.8125,None
17:08.7,371,NaN,NaN,NaN,24.8125,None
17:09.7,477.5,NaN,NaN,NaN,24.8125,None
17:10.7,487,NaN,NaN,NaN,24.8125,None
17:11.6,477.5,NaN,NaN,NaN,24.75,None
17:12.6,487.5,NaN,NaN,NaN,24.75,None
17:13.6,492,NaN,NaN,NaN,24.8125,None
17:14.7,490.5,NaN,NaN,NaN,24.8125,None
17:15.6,488.5,NaN,NaN,NaN,24.8125,None
17:16.6,477,NaN,NaN,NaN,24.8125,None
17:17.6,481,NaN,NaN,NaN,24.75,None
17:18.6,490,NaN,NaN,NaN,24.8125,None
17:19.6,482.5,NaN,NaN,NaN,24.75,None
17:20.6,479.5,NaN,NaN,NaN,24.75,None
17:21.6,481.5,NaN,NaN,NaN,24.75,None
17:22.7,404.5,NaN,NaN,NaN,24.8125,None
17:23.7,947.5,NaN,NaN,NaN,24.8125,None
17:24.6,None,NaN,NaN,NaN,24.8125,None
17:25.6,None,NaN,NaN,NaN,24.8125,None
17:26.6,None,NaN,NaN,NaN,24.8125,None
17:27.7,None,NaN,NaN,NaN,24.75,None
17:28.6,None,NaN,NaN,NaN,24.8125,None
17:29.6,None,NaN,NaN,NaN,24.8125,None
17:30.6,None,NaN,NaN,NaN,24.8125,None
17:31.7,None,NaN,NaN,NaN,24.8125,None
17:32.6,None,NaN,NaN,NaN,24.875,None
17:33.6,None,NaN,NaN,NaN,24.8125,None
17:34.6,None,NaN,NaN,NaN,24.8125,None
17:35.7,None,NaN,NaN,NaN,24.8125,None
17:36.7,None,NaN,NaN,NaN,24.8125,None
